编号,提交人,科学数据处理需求,优先级,所属领域,领域内工具推荐,对应的数据集,所属学科-其他-补充内容
1,Researcher A,"对于一个数据文件夹，生成文件夹的细粒度描述文件meta.json，例如{
    ""dataset_name"": ""Ahrens_2018_Neuron_Zebrafish Whole-Brain Sensorimotor Mapping"",
    ""root_dir"": ""/mnt/shared-storage-gpfs2/ai4neuro-share/neuro_scientist/library/data/Ahrens_2018_Neuron"",
    ""description"": ""Data from 15 larval zebrafish, ~100k neurons/fish, during multiple visually-evoked behaviors. The dataset includes raw and processed neural activity, anatomical imaging, spatial coordinates of neurons, behavioral time-series data, and metadata about the experimental conditions. The data is organized in a hierarchical structure with subject-specific folders containing both .h5 and .mat files that detail the neural responses and associated metadata for each fish."",
    ""files"": {
      ""Additional_mat_files/CustomColormaps.mat"": ""Mat file containing custom RGB color palettes and mapping arrays used in MATLAB to visually distinguish different functional clusters, regression maps, and anatomical features in the generated plots."",
      ""Additional_mat_files/FishOutline_woEyes.mat"": ""Mat file containing spatial coordinates/polygons for drawing the anatomical boundary of a larval zebrafish, specifically excluding the eyes. It is used as a visual overlay on top of brain-wide projection images (like anat_yx) to provide spatial context."",
      ""Additional_mat_files/FishOutline.mat"": ""Mat file containing spatial coordinates/polygons for drawing the complete anatomical boundary of a larval zebrafish, including the eyes, used as a structural reference overlay for 2D map visualizations."",
      ""Additional_mat_files/MaskDatabase.mat"": ""Mat file containing a database of 3D anatomical masks. These masks define the spatial boundaries of specific brain regions and nuclei within the reference brain space, used to anatomically categorize and segment the normalized cell coordinates (CellXYZ_norm)."",
      ""Additional_mat_files/ReferenceBrain.mat"": ""Mat file containing the standard 3D anatomical reference brain template. This represents the canonical larval zebrafish brain volume to which all individual subject imaging data (CellXYZ) were registered and normalized."",
      ""Additional_mat_files/VAR_new.mat"": ""Mat file containing the results of whole-brain functional clustering."",
      ""Subjects/subject_*"": {
        ""description"": ""This dataset contains 15 larval zebrafish during multiple visually-evoked behaviors. Blocks of visual stimulus patterns associated with the following behavioral paradigms were projected onto a screen below the fish during imaging. (1) Phototaxis (phT): larval zebrafish are attracted by light, are averse to darkness, and use spatial differences in luminance to guide their navigation. We presented a half-field dark stimulus on either the left or the right side, separated in time by a whole-field white baseline. (2) The optomotor response (OMR): this is a position-stabilizing reflex to whole-field visual motion, in which fish turn and swim in the direction of perceived motion. The stimuli used were whole-field stripes moving in different directions. (3) The visual escape (looming) response: in free-swimming fish, expanding discs elicit an avoidance response; although in tethered preparations fish often exhibit freezing behavior, there is still a strong sensory-related response in large areas of the. The looming stimuli were presented from either the left or right side of the fish. (4) The dark-flash response (DF): this reflex is characterized by long-latency, large-angle turns in response to sudden darkening of the environment. Alternating whole-field dark and bright stimuli were used for this stimulus block. (5) Spontaneous behavior: in the absence of visual stimuli, fish spontaneously swim in alternating sequences of repeated turns to the left and to the right. For this block, fish were imaged under homogeneous background illumination."",
        ""files"": {
          ""TimeSeries.h5"": {""description"":""This is a 1-by-5 struct containing five distinct data entries. Each entry consists of a Name (identifier) and a Value (a matrix of data). All matrices share a common first dimension, which represents the number of neurons. All values are stored as single."",
                        ""keys"":{
                          ""CellResp"" : ""Cell activity (DFF0) with the shape (num_neurons, num_timepoints)"",
                          ""CellRespAvr"" : ""Cell activity (DFF0) averaged across trials with the shape (num_neurons, num_timepoints_trial)"",
                          ""CellRespAvrZ"" : ""Z-scored trial-averaged cell activity with the shape (num_neurons, num_timepoints_trial)"",
                          ""CellRespZ"" : ""Z-scored cell activity with the shape (num_neurons, num_timepoints)"",
                          ""absIX"" : ""A column vector containing the absolute index for each cell. Use these indices to map the cells back to their anatomical coordinates in the brain.""
                                }
                      },
           ""data_full.mat"": {""description"":""This file contains containing metadata, anatomical imaging, neural coordinates, and behavioral time-series data."",
                        ""keys"":{
                          ""periods"" : ""A vector where each element represents the duration (in frames) of a unique stimulus phase or experimental block."",
                          ""fpsec"" : ""The frame rate of the imaging data, measured in frames per second (fps)."",
                          ""numcell_full"" : ""The total count of identified neurons/cells in this fish."",
                          ""timelists"" : ""A cell array containing indices of time points corresponding to different visual stimuli, organized as a cell array where each cell corresponds to a specific stimulus type."",
                          ""timelists_names"" : ""A cell array containing the abbrviation of the different visual stimuli, corresponding to the timelists. Abbrviations include: 'phT' for phototaxis, 'OMR' for optomotor response, '??' for looming, 'DF' for dark-flash response."",
                          ""CellXYZ"" : ""Spatial coordinates (X, Y, Z) for identified cells in the brain with the shape (num_neurons, 3). Each row represents a unique cell; the three columns represent its spatial coordinates (X, Y, Z) in the brain."",
                          ""CellXYZ_norm"" : ""Same as above, but coordinates are normalized to a standard reference brain template."",
                          ""anat_stack"" : ""A 3D volumetric array representing the complete anatomical scan of the brain across multiple depth layers. "",
                          ""anat_yx"" : ""A 2D top-down projection image of the anatomy. The final dimension contains color information for visualization."",
                          ""anat_yz"" : ""A 2D side-view projection image of the anatomy. The final dimension contains color information for visualization."",
                          ""anat_zx"" : ""A 2D front/back-view projection of the anatomy. The final dimension contains color information for visualization."",
                          ""IX_inval_anat"" : ""A column vector containing the indices of invalid cells in CellXYZ."",
                          ""IX_inval_norm"" : ""A column vector containing the indices of invalid cells in CellXYZ_norm. Some subjects do not contain this field. "",
                          ""stimset"" : ""A structure array where each entry details one of the multiple experimental phases. Contains fields like: name, name of the phase; period, duration of one repetition of this phase; nReps, how many times this phase was repeated; starts/stops, start and end indices in the processed time series; rawstarts/rawstops, start and end indices in the raw recording."",
                          ""stimuluskey_raw"" : ""A record of the stimulus state at every time point of the raw recording session."",
                          ""stim_full"" : ""The stimulus vector aligned to the full duration of the processed experiment. "",
                          ""stimAvr"" : ""The stimulus template. Its length is the sum of the unique durations in the periods vector. It represents one cycle of each condition concatenated together."",
                          ""Behavior_raw"" : ""Raw fictive swim signals over the entire session, calculated as the smoothed power of the deviation from baseline in the tail EMG data."",
                          ""Behavior_full"" : ""Processed behavioral data aligned to stim_full."",
                          ""BehaviorAvr"" : ""Behavioral data averaged over repetitions for each phase, aligned to stimAvr."",
                          ""Eye_full"" : ""Eye position data aligned to the full experiment."",
                          ""Eye_avr"" : ""Eye position data averaged over repetitions. "",
                          ""Behavior_full_motorseed"" : ""Used as the primary behavior regressor in specific regression maps. The 2 rows likely correspond to distinct motor components (e.g., Left vs. Right swimming signals)."",
                          ""BehaviorAvr_motorseed"" : ""The neural motor seed traces averaged across trial repetitions."",
                          ""Eye_full_motorseed"" : ""Analogous to the behavior seeds, this contains eye position data aligned to the full experiment, used as a regressor in specific regression maps."",
                          ""EyeAvr_motorseed"" : ""The neural eye seed traces averaged across trial repetitions.""
                                }
                              }                   
        }
      }
    }
}",P0,神经科学,无,通用数据,
2,朱宇,数据可视化。,P1,神经科学,matplotlib,Perich et al. 2023（POYO）,
3,Researcher C,"不同科学任务的原始数据，例如DLPFC空转数据集，其本身可能由.csv, .h5, .txt 等格式的文件组成，需要经过整合。除数据整合外，其并不能直接被AI模型直接使用，存在大量数据预处理操作、参数设置，不同预处理也会对下游任务造成不同的影响。因此需要对这一类科学数据进行一系列标准化预处理操作。",P0,生命科学,"scanpy, STAGATE_pyG",DLPFC空转数据集：https://github.com/LieberInstitute/HumanPilot,
4,孙一介,需要将生物学实验中收集的图片数据、文本数据和部分多模态数据（文本、图片、音频）预处理成可供模型训练直接使用的格式,P1,生命科学,"CAVE
gsutil
tensorstore
deep lab cut","介观联接矩阵数据集
斑马鱼神经活动钙成像数据集
自由移动斑马鱼行为数据集
分子数据集
光遗传数据集
捕食、逃跑、溯游及自发行为数据集
包埋鱼各部位运动数据集",
5,孙一介,需要将生物学实验中收集的图片数据、文本数据和部分多模态数据（文本、图片、音频）预处理成可供模型训练直接使用的格式,P1,生命科学,"CAVE
gsutil
tensorstore
deep lab cut","介观联接矩阵数据集
斑马鱼神经活动钙成像数据集
自由移动斑马鱼行为数据集
分子数据集
光遗传数据集
捕食、逃跑、溯游及自发行为数据集
包埋鱼各部位运动数据集
斑马鱼水下双目视频
仿真环境和虚拟身体数据
斑马鱼的身体结构图
包埋鱼吐水侧视图
视觉刺激，肌电行为数据集
调质类型受体的全脑mRNA表达数据集",
6,Researcher B,"数据按照以下的格式进行组织：dataset-session-trail-(时间点，spike, behavior）即不同的数据集包含不同的session，每个session中包含不同的trail，只选择实验状态为成功的trail，然后每个traik由时间点，对应的spike，对应的behavior（速度，加速度或者位置）。",P1,神经科学,"xds,pynwb","1.格式: XDS (xds_python), cursor_vel / EMG + spike units
数据来源: https://datadryad.org/stash/dataset/doi:10.5061/dryad.cvdncjt7n
2.数据集：https://doi.org/10.5061/dryad.xd2547dkt
格式：PyalData .mat，每行为一个 trial
3.格式: NWB (pynwb), 手部位置时间序列 + spike units
数据来源: https://dandiarchive.org/dandiset/000121/0.210815.0703
4.数据集：DANDI 000070，pynwb NWB 格式
https://dandiarchive.org/dandiset/000070
",
7,李玉强,提升intern-s1材料训练语料质量,P2,物质科学,无,intern-s1材料训练语料,
8,徐竞屹,卫星观测数据和站点观测数据的预处理，形成一套AI-Ready的可训练、评测的端到端数据集,P1,地球科学,卫星数据处理包 SatPy、NetCDF等。站点数据暂时没有很好的统一处理工具包。,卫星数据（扫描条带）例如SSMIS、AMSR-2等平台的Level 1原始亮温数据。站点数据（离散点）例如ICODAS。,
9,陈鑫,"不同个体在相同基因上的表达量以及对应的个体化的基因序列。（参考论文https://www.biorxiv.org/content/10.1101/2025.10.31.685862v1.full#sec-108）
ps：如果agent能做到：发给它一篇论文，他就能把论文里面使用的数据下载并按照论文对应方法处理好，就太棒了，期待～",P0,生命科学,FASTA/SAMtools/BCFtools,"1.GTEx controlled access data: Apply through dbGaP (phs000424)
2.ADNI controlled access data: Apply at http://adni.loni.usc.edu/data-samples/access-data/
3.ENCODE open access data: https://www.encodeproject.org/ (publicly available)
4.1000 Genomes Project open access data: https://www.internationalgenome.org/ (publicly available)",
10,费奔,地球观测数据种类多样、观测形式多样、质量参差不齐、存储的格式也非常多样，因此形成AI ready的数据需要花费大量的人力和时间。如果能够有从欧洲或者美国等大型地球观测机构的数据通过智能体的方式直接形成地球科学AI ready的数据将有助于实现地球科学的世界模型,P0,地球科学,PANGAEA-GPT,"如下两个欧洲和美国的卫星机构所提供的数据集均可作为场景
https://user.eumetsat.int/
https://www.ncei.noaa.gov/",
